Date Time,Sort defects 1 (Defect 1: Center u location [px]) [mm],Sort defects 2 (Defect 1: Center v location [px]) [mm],Sort defects 3 (Defect 1: Recess [mm]) [mm],Sort defects 4 (Defect 2: Center u location [px]) [mm],Sort defects 5 (Defect 2: Center v location [px]) [mm],Sort defects 6 (Defect 2: Recess [mm]) [mm],Sort defects 7 (Defect 3: Center u location [px]) [mm],Sort defects 8 (Defect 3: Center v location [px]) [mm],Sort defects 9 (Defect 3: Recess [mm]) [mm]
02/12/2025 12:45:15,310.375,279.750,0.299,314.750,0.013,0.249,370.000,293.000,0.217
02/12/2025 12:45:21,248.500,311.500,1.359,301.571,0.013,0.785,265.000,288.182,0.456
02/12/2025 12:45:27,6.000,532.500,0.023,17.500,0.014,0.021,66.000,142.000,0.019
02/12/2025 12:45:33,57.000,571.500,0.027,68.000,0.015,0.027,75.333,561.500,0.021
02/12/2025 12:45:39,891.000,154.571,0.041,63.000,0.015,0.019,163.000,553.000,0.019
02/12/2025 12:45:46,500.857,417.714,1.415,449.333,0.012,1.118,126.000,376.000,0.343
02/12/2025 12:45:52,306.400,275.300,1.234,285.000,0.013,1.201,294.500,279.375,1.193
02/12/2025 12:45:58,184.077,411.462,0.075,864.000,0.013,0.026,864.750,282.000,0.025
02/12/2025 12:46:04,921.000,69.250,0.018,146.000,0.012,0.018,35.000,24.000,0.017
02/12/2025 12:46:09,802.000,614.000,0.395,924.000,0.014,0.326,932.000,617.000,0.275
02/12/2025 12:46:17,316.667,535.556,0.056,784.600,0.016,0.049,733.333,540.000,0.048
02/12/2025 12:46:23,755.833,87.167,0.034,556.000,0.013,0.032,647.500,216.000,0.026
02/12/2025 12:46:28,214.000,461.000,0.020,177.000,0.013,0.020,65.000,336.000,0.019
02/12/2025 12:46:34,122.000,404.000,0.018,168.000,0.014,0.018,216.000,230.000,0.018
02/12/2025 12:46:40,361.500,618.000,0.038,36.500,0.038,0.029,38.750,502.000,0.023
02/12/2025 12:46:47,78.000,74.000,0.021,176.000,0.014,0.020,24.000,212.000,0.019
02/12/2025 12:46:55,221.500,583.500,0.035,176.000,0.014,0.030,239.000,50.000,0.028
02/12/2025 12:47:01,214.000,258.000,0.023,158.000,0.013,0.020,140.000,102.000,0.020
02/12/2025 12:47:06,122.000,189.000,0.021,61.000,0.015,0.021,139.000,246.000,0.019
02/12/2025 12:47:12,215.500,618.000,0.079,185.500,0.067,0.067,151.800,515.500,0.028
02/12/2025 12:47:20,37.000,171.000,0.021,86.000,0.013,0.019,386.000,481.000,0.017
02/12/2025 12:47:25,859.000,357.000,0.016,69.000,0.013,0.015,96.000,246.000,0.015
02/12/2025 12:47:31,612.000,382.000,0.020,80.333,0.012,0.018,198.000,134.000,0.017
02/12/2025 12:47:37,210.000,346.000,0.015,174.000,0.012,0.015,240.000,120.000,0.015
02/12/2025 12:47:44,196.000,347.000,0.016,79.000,0.013,0.016,236.500,122.000,0.016
02/12/2025 12:47:52,988.000,27.040,0.072,987.631,0.020,0.069,374.857,292.330,0.066
02/12/2025 12:47:57,715.983,87.000,0.262,778.149,0.012,0.236,837.200,199.769,0.229
02/12/2025 12:48:02,977.667,421.833,0.268,967.600,0.031,0.246,975.143,485.000,0.211
02/12/2025 12:48:08,965.333,493.667,0.570,969.500,0.012,0.337,965.500,474.636,0.304
02/12/2025 12:48:14,951.000,583.500,0.437,949.000,0.013,0.352,948.000,112.000,0.320
