Date Time,Sort defects 1 (Defect 1: Center u location [px]) [px],Sort defects 2 (Defect 1: Center v location [px]) [px],Sort defects 3 (Defect 1: Recess [mm]) [mm],Sort defects 4 (Defect 2: Center u location [px]) [px],Sort defects 5 (Defect 2: Center v location [px]) [mm],Sort defects 6 (Defect 2: Recess [mm]) [mm],Sort defects 7 (Defect 3: Center u location [px]) [px],Sort defects 8 (Defect 3: Center v location [px]) [px],Sort defects 9 (Defect 3: Recess [mm]) [mm]
01/12/2025 14:41:18,508.000,386.000,0.153,796.000,0.124,0.149,821.000,364.000,0.138
01/12/2025 14:41:24,,,,,,,,,
01/12/2025 14:41:30,,,,,,,,,
01/12/2025 14:41:36,237.000,327.000,0.157,692.000,0.126,0.126,305.000,,0.111
01/12/2025 14:41:42,998.000,6.000,0.277,,,,,,
01/12/2025 14:41:49,,,,,,,,,
01/12/2025 14:41:55,,,,,,,,,
01/12/2025 14:42:01,910.000,320.500,0.166,,,,,,
01/12/2025 14:42:07,,,,,,,,,
01/12/2025 14:42:12,563.000,6.000,0.508,578.000,0.140,0.417,589.000,7.000,0.360
01/12/2025 14:42:20,264.000,79.000,0.176,870.000,0.161,0.173,45.500,313.000,0.168
01/12/2025 14:42:25,464.000,577.000,0.439,437.667,0.150,0.413,451.000,591.500,0.365
01/12/2025 14:42:31,173.167,576.000,0.228,215.000,0.155,0.155,211.000,510.000,0.149
01/12/2025 14:42:37,245.000,131.000,0.365,203.000,0.132,0.271,606.500,383.000,0.218
01/12/2025 14:42:43,627.000,6.000,0.836,816.000,0.184,0.617,140.000,7.000,0.551
01/12/2025 14:42:50,946.000,412.000,0.131,,,,,,
01/12/2025 14:42:58,694.000,418.500,0.206,,,,,,
01/12/2025 14:43:03,,,,,,,,,
01/12/2025 14:43:09,,,,,,,,,
01/12/2025 14:43:15,635.000,9.000,0.255,654.000,0.141,0.250,871.000,375.500,0.192
01/12/2025 14:43:23,150.167,373.333,8.167,338.600,3.752,7.289,289.000,607.000,7.282
01/12/2025 14:43:28,,,,,,,,,
01/12/2025 14:43:34,,,,,,,,,
01/12/2025 14:43:40,,,,,,,,,
01/12/2025 14:43:45,906.000,12.000,0.158,585.500,0.097,0.151,960.000,12.000,0.118
01/12/2025 14:43:53,,,,,,,,,
01/12/2025 14:43:59,,,,,,,,,
01/12/2025 14:44:05,11.692,32.564,0.720,12.429,0.495,0.510,20.972,115.833,0.495
01/12/2025 14:44:10,15.700,489.600,3.050,14.875,0.045,2.837,22.250,585.273,1.284
01/12/2025 14:44:16,20.600,285.000,5.013,21.000,0.269,2.921,14.000,89.022,1.704
